GSVIVT01000001001								
GSVIVT01000002001	PF00999	PTHR10110	KOG1965			AT3G05030.1	ATNHX2,NHX2	sodium hydrogen exchanger 2
GSVIVT01006127001								
GSVIVT01006129001	PF03727	PTHR19443				AT4G37840.1	HKL3	hexokinase-like 3
GSVIVT01006130001								
GSVIVT01006131001		PTHR11139:SF7				AT5G40820.1	ATATR,ATR,ATRAD3	Ataxia telangiectasia-mutated and RAD3-related
GSVIVT01006132001								
GSVIVT01006135001								
GSVIVT01006136001		PTHR15598				AT3G13300.1	VCS	Transducin/WD40 repeat-like superfamily protein
GSVIVT01006138001						AT2G35035.1	URED	urease accessory protein D
GSVIVT01006140001								
GSVIVT01006141001								
GSVIVT01006142001		PTHR23257				AT4G35780.1		ACT-like protein tyrosine kinase family protein
GSVIVT01006143001	PF11883	PTHR23258				AT4G21410.1	CRK29	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
GSVIVT01006145001								
GSVIVT01006146001	PF00646	PTHR23125				AT4G08980.2	FBW2	F-BOX WITH WD-40 2
GSVIVT01006148001	PF00221					AT3G10340.1	PAL4	phenylalanine ammonia-lyase 4
GSVIVT01006150001	PF09265	PTHR13878	KOG1231			AT5G56970.1	ATCKX3,CKX3	cytokinin oxidase 3
GSVIVT01006151001	PF11883	PTHR23258				AT1G11350.1	CBRLK1,RKS2,SD1-13	S-domain-1 13
GSVIVT01006152001		PTHR22298				AT1G65610.1	ATGH9A2,KOR2	Six-hairpin glycosidases superfamily protein
GSVIVT01006154001	PF00251					AT1G12240.1	ATBETAFRUCT4,VAC-INV	Glycosyl hydrolases family 32 protein
GSVIVT01006155001		PTHR21243				AT4G40050.1		Protein of unknown function (DUF3550/UPF0682)
GSVIVT01006157001		PTHR23258				AT2G17220.1		Protein kinase superfamily protein
GSVIVT01006159001		PTHR23258				AT1G61480.1		S-locus lectin protein kinase family protein
GSVIVT01006160001		PTHR22594		6.1.1.22	K01893	AT3G07420.1	ATNS2,NS2,SYNC2,SYNC2_ARATH	asparaginyl-tRNA synthetase 2
GSVIVT01006161001		PTHR11183				AT4G16600.1		Nucleotide-diphospho-sugar transferases superfamily protein
GSVIVT01006162001		PTHR10420:SF6				AT5G57990.1	UBP23	ubiquitin-specific protease 23
GSVIVT01006163001		PTHR12956:SF1				AT1G53040.2		Protein of unknown function (DUF616)
GSVIVT01006165001		PTHR10906				AT1G78720.1		SecY protein transport family protein
GSVIVT01006166001						AT4G37870.1	PCK1,PEPCK	phosphoenolpyruvate carboxykinase 1
GSVIVT01006203001	PF01348					ATMG00520.1		Intron maturase, type II family protein
GSVIVT01006204001								
GSVIVT01006205001								
GSVIVT01006206001								
GSVIVT01006210001	PF02874	PTHR15184				ATCG00480.1		ATP synthase subunit beta
GSVIVT01006212001								
GSVIVT01006214001								
GSVIVT01006215001								
GSVIVT01006216001								
GSVIVT01006217001	PF05115					ATCG00590.1		electron carriers
GSVIVT01006218001	PF01578					ATMG00960.1		Cytochrome C assembly protein
GSVIVT01006220001		PTHR11993				ATMG00510.1		NADH dehydrogenase subunit 7
GSVIVT01006222001	PF00346	PTHR11993		1.6.5.3,1.6.99.3	K03935	ATMG00510.1		NADH dehydrogenase subunit 7
GSVIVT01006225001		PTHR19961				AT5G48460.1		Actin binding Calponin homology (CH) domain-containing protein
GSVIVT01006226001						AT5G48470.1		
GSVIVT01006227001						AT1G17130.1		Family of unknown function (DUF572) 
GSVIVT01006231001								
GSVIVT01006232001	PF05627					AT5G48500.1		
GSVIVT01006234001		PTHR19378				AT5G48520.1		
GSVIVT01006242001		PTHR12734				AT5G57280.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01006243001	PF00931,PF00560	PTHR23155				AT3G14460.1		LRR and NB-ARC domains-containing disease resistance protein
GSVIVT01006246001	PF09598	PTHR12299:SF4	KOG2945			AT4G17520.1		Hyaluronan / mRNA binding family
GSVIVT01006247001								
GSVIVT01006248001	PF04720					AT3G07350.1		Protein of unknown function (DUF506) 
GSVIVT01006249001		PTHR10394				AT5G59240.1		Ribosomal protein S8e family protein
GSVIVT01006250001						AT3G07440.1		
GSVIVT01006251001	PF02586	PTHR13604	KOG2618			AT2G26470.1		
GSVIVT01006254001	PF03819					AT3G25400.1		
GSVIVT01006256001								
GSVIVT01006258001	PF09348					AT2G17695.3		
GSVIVT01006259001		PTHR11106	KOG2633			AT4G35750.1		SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
GSVIVT01006262001								
GSVIVT01006263001						AT4G35760.1		NAD(P)H dehydrogenase (quinone)s
GSVIVT01006264001		PTHR22600				AT1G65590.1	ATHEX1,HEXO3	beta-hexosaminidase 3
GSVIVT01006265001	PF00759	PTHR22298				AT1G65610.1	ATGH9A2,KOR2	Six-hairpin glycosidases superfamily protein
GSVIVT01006266001	PF04101	PTHR12867	KOG3349	2.4.1.141	K07432	AT4G16710.2		glycosyltransferase family protein 28
GSVIVT01006267001	PF08700		KOG2033			AT5G16300.1		Vps51/Vps67 family (components of vesicular transport) protein
GSVIVT01006269001	PF03195					AT1G65620.1	AS2	Lateral organ boundaries (LOB) domain family protein
GSVIVT01006270001	PF00782	PTHR10159	KOG1719			AT2G35680.1		Phosphotyrosine protein phosphatases superfamily protein
GSVIVT01006271001	PF08783,PF00098	PTHR15439	KOG0314			AT4G17410.2		DWNN domain, a CCHC-type zinc finger
GSVIVT01006273001	PF01987					AT5G47420.1		Tryptophan RNA-binding attenuator protein-like
GSVIVT01006274001	PF03016	PTHR11062	KOG1021			AT4G16745.1		Exostosin family protein
GSVIVT01006275001	PF00249	PTHR10641	KOG0048			AT5G47400.1		
GSVIVT01006276001		PTHR12988				AT5G47400.1		
GSVIVT01006277001	PF00847				K09286	AT2G44940.1		Integrase-type DNA-binding superfamily protein
GSVIVT01006278001								
GSVIVT01006279001								
GSVIVT01006280001								
GSVIVT01006282001								
GSVIVT01006283001		PTHR19242:SF21				AT3G13080.1	ATMRP3,MRP3	multidrug resistance-associated protein 3
GSVIVT01006294001								
GSVIVT01006295001						AT5G35810.1		Ankyrin repeat family protein
GSVIVT01006297001	PF00139	PTHR23258				AT5G10530.1		Concanavalin A-like lectin protein kinase family protein
GSVIVT01006298001	PF06045					AT2G22620.1		Rhamnogalacturonate lyase family protein
GSVIVT01006299001	PF00139	PTHR23258				AT5G65600.1		Concanavalin A-like lectin protein kinase family protein
GSVIVT01006300001								
GSVIVT01006301001	PF04446	PTHR23258				AT5G10530.1		Concanavalin A-like lectin protein kinase family protein
GSVIVT01006302001	PF06045					AT2G22620.2		Rhamnogalacturonate lyase family protein
GSVIVT01006303001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006304001		PTHR11695:SF8				AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006305001	PF00107	PTHR11695				AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006306001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
GSVIVT01006308001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
GSVIVT01006310001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
GSVIVT01006315001	PF00954,PF08276,PF00024,PF00069,PF07714,PF11883	PTHR23258	KOG1187			AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006316001	PF08276,PF00024,PF00069,PF07714,PF11883	PTHR23258	KOG1187			AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006317001	PF00069,PF07714,PF08276	PTHR23258	KOG1187			AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006318001	PF11883	PTHR23258				AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006319001	PF00098,PF08276,PF00069,PF11883	PTHR23258				AT1G11330.2		S-locus lectin protein kinase family protein
GSVIVT01006320001	PF00954	PTHR23258				AT1G11330.2		S-locus lectin protein kinase family protein
GSVIVT01006328001								
GSVIVT01006329001	PF04749					AT4G35920.1	MCA1	PLAC8 family protein
GSVIVT01006330001	PF03931,PF01466	PTHR11165	KOG1724			AT1G75950.1	ASK1,ATSKP1,SKP1,SKP1A,UIP1	S phase kinase-associated protein 1
GSVIVT01006332001						AT4G35900.1	atbzip14,FD,FD-1	Basic-leucine zipper (bZIP) transcription factor family protein
GSVIVT01006333001	PF05383	PTHR22792	KOG2590			AT4G35890.1		winged-helix DNA-binding transcription factor family protein
GSVIVT01006335001						AT1G11120.2		
GSVIVT01006336001	PF01344,PF07646	PTHR23230				AT1G16250.1		Galactose oxidase/kelch repeat superfamily protein
GSVIVT01006337001	PF08513,PF10607	PTHR12864	KOG2659			AT1G61150.1		LisH and RanBPM domains containing protein
GSVIVT01006338001								
GSVIVT01006339001	PF00176,PF00097,PF00271	PTHR10799	KOG1001			AT1G11100.2		SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
GSVIVT01006340001	PF12146	PTHR11614	KOG1455			AT1G11090.1		alpha/beta-Hydrolases superfamily protein
GSVIVT01006341001	PF00450	PTHR11802	KOG1282	3.4.16.5	K13289	AT1G11080.2	scpl31	serine carboxypeptidase-like 31
GSVIVT01006342001	PF01397,PF03936					AT1G61120.1	GES,TPS04,TPS4	terpene synthase 04
GSVIVT01006347001	PF04389	PTHR10404				AT3G54720.1	AMP1,COP2,HPT,MFO1,PT	Peptidase M28 family protein
GSVIVT01006348001								
GSVIVT01006351001	PF01453,PF00954,PF08276,PF00024,PF00069,PF07714,PF11883	PTHR23258	KOG1187			AT1G11330.1		S-locus lectin protein kinase family protein
GSVIVT01006353001	PF00954,PF08276,PF00069,PF07714,PF12398,PF11883	PTHR23258	KOG1187			AT4G21380.1	ARK3,RK3	receptor kinase 3
GSVIVT01006366001	PF04570					AT1G78020.1		Protein of unknown function (DUF581)
GSVIVT01006367001	PF07977			4.2.1.-	K02372	AT5G10160.1		Thioesterase superfamily protein
GSVIVT01006369001	PF00150			3.2.1.58	K01210	AT1G13130.1		Cellulase (glycosyl hydrolase family 5) protein
GSVIVT01006370001						AT2G22230.1		Thioesterase superfamily protein
GSVIVT01006372001	PF00150			3.2.1.58	K01210	AT1G13130.1		Cellulase (glycosyl hydrolase family 5) protein
GSVIVT01006373001	PF06136					AT5G10150.1		Domain of unknown function (DUF966)
GSVIVT01006374001	PF01190					AT4G08685.1	SAH7	Pollen Ole e 1 allergen and extensin family protein
GSVIVT01006375001	PF03372	PTHR11200	KOG0565			AT5G65090.1	BST1,DER4,MRH3	DNAse I-like superfamily protein
GSVIVT01006376001	PF00191	PTHR10502				AT1G35720.1	ANNAT1,ATOXY5,OXY5	annexin 1
GSVIVT01006378001								
GSVIVT01006381001								
GSVIVT01006384001								
GSVIVT01006386001						AT5G48640.1		Cyclin family protein
GSVIVT01006388001	PF00134	PTHR10026	KOG0794			AT5G48630.1		Cyclin family protein
GSVIVT01006393001		PTHR10366				AT1G61720.1	BAN	NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01006394001		PTHR10366				AT1G61720.1	BAN	NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01006395001		PTHR10366				AT1G61720.1	BAN	NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01006396001	PF01370	PTHR10366	KOG1502	1.3.1.77	K08695	AT1G61720.1	BAN	NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01006397001		PTHR23258				AT5G54590.2	CRLK1	Protein kinase superfamily protein
GSVIVT01006399001	PF01397,PF03936			4.2.3.15	K12467	AT4G16740.1	ATTPS03,TPS03	terpene synthase 03
GSVIVT01006400001	PF01397					AT2G24210.1	TPS10	terpene synthase 10
GSVIVT01006401001						AT1G11480.1		eukaryotic translation initiation factor-related
GSVIVT01006403001	PF03000					AT3G22104.1		Phototropic-responsive NPH3 family protein
GSVIVT01006404001	PF01363,PF07719,PF00515,PF07721	PTHR23164				AT1G61690.1		phosphoinositide binding
GSVIVT01006408001	PF00226	PTHR11821				AT4G13830.2	J20	DNAJ-like 20
GSVIVT01006430001	PF01657,PF00069,PF07714,PF11883	PTHR23258	KOG1187			AT4G23180.1	CRK10,RLK4	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
GSVIVT01006443001	PF01535,PF00295	PTHR10483				AT3G59850.1		Pectin lyase-like superfamily protein
GSVIVT01006444001	PF00069,PF07714	PTHR23258	KOG1187			AT3G09010.1		Protein kinase superfamily protein
GSVIVT01006445001								
GSVIVT01006447001	PF00035					AT4G21670.1	ATCPL1,CPL1,FRY2	C-terminal domain phosphatase-like 1
GSVIVT01006448001						AT4G21670.1	ATCPL1,CPL1,FRY2	C-terminal domain phosphatase-like 1
GSVIVT01006449001	PF07814	PTHR22100	KOG2152			AT1G11060.1		WAPL (Wings apart-like protein regulation of heterochromatin) protein
GSVIVT01006450001	PF00561,PF12146	PTHR10992	KOG4178			AT4G02340.1		alpha/beta-Hydrolases superfamily protein
GSVIVT01006452001	PF00561,PF12146	PTHR10992	KOG4178			AT4G02340.1		alpha/beta-Hydrolases superfamily protein
GSVIVT01006453001						AT1G61040.1	VIP5	plus-3 domain-containing protein
GSVIVT01006454001		PTHR11695:SF8				AT4G39330.1	ATCAD9,CAD9	cinnamyl alcohol dehydrogenase 9
GSVIVT01006456001		PTHR11695:SF8				AT4G39330.2	ATCAD9,CAD9	cinnamyl alcohol dehydrogenase 9
GSVIVT01006457001	PF00107	PTHR11695				AT4G37980.1	ATCAD7,CAD7,ELI3,ELI3-1	elicitor-activated gene 3-1
GSVIVT01006458001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
GSVIVT01006459001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37990.1	ATCAD8,CAD-B2,ELI3,ELI3-2	elicitor-activated gene 3-2
GSVIVT01006460001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006461001		PTHR11695:SF8				AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006462001	PF08240,PF00107	PTHR11695	KOG0023			AT4G37970.1	ATCAD6,CAD6	cinnamyl alcohol dehydrogenase 6
GSVIVT01006463001						AT1G09910.1		Rhamnogalacturonate lyase family protein
GSVIVT01006464001	PF03936,PF07719	PTHR22835:SF1				AT1G61690.1		phosphoinositide binding
GSVIVT01006465001	PF01397					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006466001	PF01397					AT5G23960.1	ATTPS21,TPS21	terpene synthase 21
GSVIVT01006467001	PF01397,PF03936					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006468001	PF01397					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006469001	PF01397					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006470001	PF00091	PTHR11588	KOG1376			AT4G14960.1	TUA6	Tubulin/FtsZ family protein
GSVIVT01006471001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT5G65710.1	HSL2	HAESA-like 2
GSVIVT01006472001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT5G65710.1	HSL2	HAESA-like 2
GSVIVT01006474001	PF00056,PF02866	PTHR11540	KOG1494	1.1.1.37	K00026	AT2G22780.1	PMDH1	peroxisomal NAD-malate dehydrogenase 1
GSVIVT01006476001						AT2G22760.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
GSVIVT01006478001	PF00954,PF08276,PF00069,PF07714,PF01453,PF00008	PTHR23258	KOG0198			AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006480001	PF00954,PF08276	PTHR23258				AT4G21380.1	ARK3,RK3	receptor kinase 3
GSVIVT01006481001	PF04564,PF00514,PF11789	PTHR22849				AT4G21350.1	B80,PUB8	plant U-box 8
GSVIVT01006482001						AT1G61100.1		disease resistance protein (TIR class), putative
GSVIVT01006483001	PF01582					AT1G61105.1		Toll-Interleukin-Resistance (TIR) domain family protein
GSVIVT01006484001		PTHR11452	KOG2366			AT5G08370.1	AGAL2,AtAGAL2	alpha-galactosidase 2
GSVIVT01006485001	PF02365					AT1G61110.1	anac025,NAC025	NAC domain containing protein 25
GSVIVT01006486001								
GSVIVT01006487001						AT1G61120.1	GES,TPS04,TPS4	terpene synthase 04
GSVIVT01006497001		PTHR21152	KOG2790	2.6.1.52	K00831	AT2G17630.1		Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
GSVIVT01006498001						AT4G39860.1		
GSVIVT01006501001		PTHR23258				AT4G22130.2	SRF8	STRUBBELIG-receptor family 8
GSVIVT01006502001		PTHR11711				AT5G52210.2	ATARLB1,ATGB1,GB1	GTP-binding protein 1
GSVIVT01006503001	PF00284				K02704	ATCG00680.1		photosystem II reaction center protein B
GSVIVT01006504001	PF02136	PTHR10693	KOG2104			AT3G25150.2		Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
GSVIVT01006505001		PTHR23258				AT4G21410.1	CRK29	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
GSVIVT01006506001						AT1G73450.1		Protein kinase superfamily protein
GSVIVT01006508001	PF07992	PTHR22915				AT4G21490.1	NDB3	NAD(P)H dehydrogenase B3
GSVIVT01006509001		PTHR11139:SF7				AT5G40820.1	ATATR,ATR,ATRAD3	Ataxia telangiectasia-mutated and RAD3-related
GSVIVT01006510001	PF00043	PTHR11260				AT3G09270.1	ATGSTU8,GSTU8	glutathione S-transferase TAU 8
GSVIVT01006511001								
GSVIVT01006512001		PTHR23258				AT4G23160.1	CRK8	cysteine-rich RLK (RECEPTOR-like protein kinase) 8
GSVIVT01006513001	PF00646					AT4G35930.1		F-box family protein
GSVIVT01006515001						AT1G11440.1		
GSVIVT01006516001								
GSVIVT01006517001	PF00043	PTHR11260				AT3G09270.1	ATGSTU8,GSTU8	glutathione S-transferase TAU 8
GSVIVT01006518001	PF01643					AT4G13050.1		Acyl-ACP thioesterase
GSVIVT01006519001						AT5G65640.1	bHLH093	beta HLH protein 93
GSVIVT01006520001								
GSVIVT01006523001	PF03966					AT4G35905.1		
GSVIVT01006524001		PTHR23258				AT4G23180.1	CRK10,RLK4	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
GSVIVT01006525001								
GSVIVT01006526001		PTHR23258				AT1G11300.1		protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding
GSVIVT01006527001	PF00230	PTHR19139				AT4G17340.1	DELTA-TIP2,TIP2;2	tonoplast intrinsic protein 2;2
GSVIVT01006529001	PF04937					AT3G17450.1		hAT dimerisation domain-containing protein
GSVIVT01006533001								
GSVIVT01006535001	PF00125	PTHR11426	KOG1745		K11253	AT4G40030.2		Histone superfamily protein
GSVIVT01006537001						AT4G21720.2		
GSVIVT01006538001								
GSVIVT01006539001		PTHR11939				AT3G47950.1	AHA4,HA4	H(+)-ATPase 4
GSVIVT01006541001	PF07719,PF00515	PTHR22904			K09553	AT1G12270.1		stress-inducible protein, putative
GSVIVT01006542001								
GSVIVT01006543001	PF03226	PTHR13847	KOG3399			AT2G40110.2		Yippee family putative zinc-binding protein
GSVIVT01006544001								
GSVIVT01006574001						AT3G50590.1		Transducin/WD40 repeat-like superfamily protein
GSVIVT01006575001	PF00400	PTHR22847				AT3G50590.1		Transducin/WD40 repeat-like superfamily protein
GSVIVT01006576001	PF00106	PTHR19410	KOG1200			AT3G50560.1		NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01006577001	PF02037					AT5G66840.1		SAP domain-containing protein
GSVIVT01006578001		PTHR22982	KOG0027			AT3G50530.1	CRK	CDPK-related kinase
GSVIVT01006581001		PTHR10584:SF26				AT1G19600.1		pfkB-like carbohydrate kinase family protein
GSVIVT01006588001	PF00010	PTHR11514				AT4G37850.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
GSVIVT01006589001	PF01397,PF03936					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006591001	PF01397,PF03936					AT1G61680.1	ATTPS14,TPS14	terpene synthase 14
GSVIVT01006592001	PF00319	PTHR11945	KOG0014			AT2G24840.1	AGL61,DIA	AGAMOUS-like 61
GSVIVT01006593001	PF02046	PTHR11504	KOG3469	1.9.3.1	K02266	AT4G37830.1		cytochrome c oxidase-related
GSVIVT01006594001						AT2G22795.1		
GSVIVT01006598001								
GSVIVT01006600001		PTHR13206:SF3		6.3.2.19	K10606	AT5G65740.2		zinc ion binding
GSVIVT01006610001								
GSVIVT01006611001	PF01624,PF05188	PTHR11439				AT4G25540.1	ATMSH3,MSH3	homolog of DNA mismatch repair protein MSH3
GSVIVT01006613001		PTHR19242				AT4G18050.1	PGP9	P-glycoprotein  9
GSVIVT01006614001	PF07719,PF00515	PTHR12601				AT1G01320.2		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01006616001						AT2G39810.1	HOS1	ubiquitin-protein ligases
GSVIVT01006617001	PF01756	PTHR10909	KOG0136	1.3.3.6	K00232	AT4G16760.1	ACX1,ATACX1	acyl-CoA oxidase 1
GSVIVT01006618001	PF00067	PTHR19383	KOG0157			AT3G14690.1	CYP72A15	cytochrome P450, family 72, subfamily A, polypeptide 15
GSVIVT01006619001	PF00067	PTHR19383	KOG0157			AT3G14610.1	CYP72A7	cytochrome P450, family 72, subfamily A, polypeptide 7
GSVIVT01006626001	PF01535	PTHR11926	KOG1192			AT1G22360.1	AtUGT85A2,UGT85A2	UDP-glucosyl transferase 85A2
GSVIVT01006627001	PF00702	PTHR18901				AT4G39970.1		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
GSVIVT01006628001						AT5G10310.1		
GSVIVT01006630001	PF00646	PTHR23125				AT4G08980.4	FBW2	F-BOX WITH WD-40 2
GSVIVT01006632001						AT5G10320.1		
GSVIVT01006633001						AT5G65250.1		
GSVIVT01006634001	PF01474	PTHR21337		2.5.1.54	K01626	AT1G22410.1		Class-II DAHP synthetase family protein
GSVIVT01006635001						AT1G11480.1		eukaryotic translation initiation factor-related
GSVIVT01006636001								
GSVIVT01006638001	PF03936					AT3G25820.1	ATTPS-CIN,TPS-CIN	terpene synthase-like sequence-1,8-cineole
GSVIVT01006639001						AT4G16740.1	ATTPS03,TPS03	terpene synthase 03
GSVIVT01006641001	PF00403	PTHR23258				AT5G54590.2	CRLK1	Protein kinase superfamily protein
GSVIVT01006642001	PF01397					AT4G16740.2	ATTPS03,TPS03	terpene synthase 03
GSVIVT01006643001								
GSVIVT01006653001						AT1G23340.2		Protein of Unknown Function (DUF239)
GSVIVT01006654001	PF01535	PTHR10483				AT1G60770.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01006655001						AT1G10740.1		alpha/beta-Hydrolases superfamily protein
GSVIVT01006656001	PF04864	PTHR11751	KOG0257			AT1G70560.1	SAV3,TAA1,WEI8	tryptophan aminotransferase of Arabidopsis 1
GSVIVT01006662001					K02705	ATCG00280.1		photosystem II reaction center protein C
GSVIVT01006663001		PTHR11432		1.6.5.3	K03878	ATMG01275.1		NADH dehydrogenase 1A
GSVIVT01006665001								
GSVIVT01006666001								
GSVIVT01006667001								
GSVIVT01006669001	PF01479					ATMG00290.1		mitochondrial ribosomal protein S4
GSVIVT01006670001								
GSVIVT01006674001								
GSVIVT01006675001	PF00560	PTHR23258	KOG0617			AT3G11080.1	AtRLP35,RLP35	receptor like protein 35
GSVIVT01006677001								
GSVIVT01006678001		PTHR11061:SF5				AT3G27180.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01006679001								
GSVIVT01006680001		PTHR23258				AT1G11410.1		S-locus lectin protein kinase family protein
GSVIVT01006681001						AT1G61750.1		Receptor-like protein kinase-related family protein
GSVIVT01006682001		PTHR10338:SF8				AT1G72500.1		
GSVIVT01006683001	PF01657,PF00069,PF07714	PTHR23258	KOG1187			AT4G21410.1	CRK29	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
GSVIVT01006684001	PF05627					AT3G25070.1	RIN4	RPM1 interacting protein 4
GSVIVT01006686001	PF12056					AT3G20300.1		Protein of unknown function (DUF3537)
GSVIVT01006687001						AT4G22260.1	IM,IM1	Alternative oxidase family protein
GSVIVT01006688001						AT3G20300.1		Protein of unknown function (DUF3537)
GSVIVT01006689001	PF01786					AT4G22260.1	IM,IM1	Alternative oxidase family protein
GSVIVT01006690001		PTHR11061:SF5				AT3G27180.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01006691001								
GSVIVT01006693001								
GSVIVT01006709001	PF01301	PTHR23421				AT2G28470.1	BGAL8	beta-galactosidase 8
GSVIVT01006710001	PF03619	PTHR23423				AT4G21570.1		Protein of unknown function (DUF300)
GSVIVT01006711001	PF01412	PTHR23180	KOG0703			AT5G54310.1	AGD5,NEV	ARF-GAP domain 5
GSVIVT01006712001	PF05553					AT1G61260.1		Protein of unknown function (DUF761)
GSVIVT01006713001								
GSVIVT01006714001		PTHR11246	KOG2047		K12867	AT5G28740.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01006715001	PF03997	PTHR12937	KOG3284		K12184	AT4G05000.1	VPS28-1,VPS28-2	Vacuolar protein sorting-associated protein VPS28 family protein
GSVIVT01006716001	PF00804,PF05739	PTHR19957	KOG0810		K08486	AT1G61290.1	ATSYP124,SYP124	syntaxin of plants 124
GSVIVT01006717001		PTHR10795				AT5G59810.1	ATSBT5.4,SBT5.4	Subtilase family protein
GSVIVT01006719001	PF08569	PTHR10182	KOG1566			AT5G47540.1		Mo25 family protein
GSVIVT01006720001	PF00459	PTHR20854	KOG2951	3.1.3.-,3.1.3.25	K10047	AT3G02870.1	VTC4	Inositol monophosphatase family protein
GSVIVT01006721001	PF04526		KOG4293			AT5G47530.1		Auxin-responsive family protein
GSVIVT01006723001	PF00083,PF07690	PTHR11600	KOG0569		K08150	AT4G16480.1	ATINT4,INT4	inositol transporter 4
GSVIVT01006725001								
GSVIVT01006728001		PTHR22600				AT1G65590.1	ATHEX1,HEXO3	beta-hexosaminidase 3
GSVIVT01006729001						AT5G12150.1		Rho GTPase activation protein (RhoGAP) with PH domain
GSVIVT01006730001								
GSVIVT01006731001	PF01753,PF00443	PTHR10420				AT5G65450.1	UBP17	ubiquitin-specific protease 17
GSVIVT01006732001	PF01205		KOG3299			AT4G38090.1		Ribosomal protein S5 domain 2-like superfamily protein
GSVIVT01006733001								
GSVIVT01006734001		PTHR23072				AT2G22530.1		Alkaline-phosphatase-like family protein
GSVIVT01006735001		PTHR23072		2.7.-.-	K05310	AT2G22530.1		Alkaline-phosphatase-like family protein
GSVIVT01006736001						AT5G65460.1	KAC2,KCA2	kinesin like protein for actin based chloroplast movement 2
GSVIVT01006739001	PF00069,PF07714	PTHR23258	KOG1187			AT4G23180.1	CRK10,RLK4	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
GSVIVT01006740001	PF01657	PTHR23258				AT4G21410.1	CRK29	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
GSVIVT01006741001		PTHR10338:SF8				AT1G72500.1		
